name,type,website,headquarters,aliases,legal_entities,partners
Ecosia World Fund,vc,https://worldfund.vc,,Ecosia World Fund;Ecosia,Ecosia World Fund GmbH,Danijel Visevic;Daniel Valenzuela;Stephan Vopel;Tim Schumacher;Alexis Caporale
High-Tech Grunderfonds,vc,https://htgf.de,,High-Tech Grunderfonds;High-Tech,High-Tech Grunderfonds GmbH,Alexander von Frankenberg;Michael Brandkamp;High-Tech Gründerfonds;Dr. Adrian Fuchs;Johannes Weber
Demeter,vc,,,Demeter,Demeter GmbH,Thomas Virolle;Olivier Bordelanne;Margaux Chevrier;Yann Lagalaye;Julien Coudy
European Innovation Council,government,https://eic.ec.europa.eu,,European Innovation Council;European,European Innovation Council GmbH,Agustin Escardino-Malva;Jean-david Malo;Stephane Ouaki;Marco Antonio Pantaleo;Francesco Matteucci
Ananda Impact Ventures,vc,https://ananda.vc,,Ananda Impact Ventures;Ananda,Ananda Impact Ventures GmbH;Ananda Impact Ventures LP,Felix Ferstl;Florian Erber;Bernd Klosterkemper;Zoe Peden;Johannes Weber
Astanor Ventures,vc,https://astanor.com,,Astanor Ventures;Astanor,Astanor Ventures GmbH;Astanor Ventures LP,Erik Ashambro;Adrian Friederich;Ali Morrow;Christina Ulardic;Leslie Kapin-Royere
Balderton Capital,vc,https://balderton.com,,Balderton Capital;Balderton,Balderton Capital GmbH;Balderton Capital LP,Colin Hanna;Rob Moffat;Shikha Ahluwalia;Zoe Mohl;Melissa Negretti
HV Capital,vc,https://hvcapital.com,,HV Capital,HV Capital GmbH;HV Capital LP,Nawid Ali-Abbassi;Jan Miczaika;Frederic Martin;Lisa Oberaigner;Anna Ott
Paua Ventures,vc,https://pauaventures.com,,Paua Ventures;Paua,Paua Ventures GmbH;Paua Ventures LP,Levent Altunel;Christian Buchenau;Federico Wengi;Christophe Defforey;Felix Plapperer
Point Nine,vc,https://pointnine.com,,Point Nine;Point,Point Nine GmbH,Christoph Janz;Team Assistance;Robin Dechant;Louis Coppey;Aleksandra Zorylo
Climate Ventures,vc,https://climate.vc,,Climate Ventures;Climate,Climate Ventures GmbH;Climate Ventures LP,Peet Denny;Catherine Jeong
ReGen Ventures,vc,https://regen.vc,,ReGen Ventures;ReGen,ReGen Ventures GmbH;ReGen Ventures LP,Dan Fitzgerald;Tom McQuillen;William Coleman
Target Partners,vc,https://targetpartners.de,,Target Partners;Target,Target Partners GmbH;Target Partners LP,Michael Münnix;Berthold von Freyberg;Grit Brunssen
True Ventures,vc,https://trueventures.com,,True Ventures;True,True Ventures GmbH;True Ventures LP,Priscilla Tyler;Toni Schneider;Madeline Saltzman
Visionaries Club,vc,https://visionaries.vc,,Visionaries Club;Visionaries,Visionaries Club GmbH,Robert Lacher;Thong Hoang;Sebastian Pollok;Lisa Sorg;Julia Hubo
Atomico,vc,https://atomico.com,,Atomico,Atomico GmbH,Konstantin Zedelius;Joen Bonnier;Harriet Forte;Kat Borlongan;Daphne Dovermann
Five Seasons Ventures,vc,https://fiveseasons.vc,,Five Seasons Ventures;Five,Five Seasons Ventures GmbH;Five Seasons Ventures LP,Niccolo Manzoni;Nicolas Auber;Louis Magaldi-Charles;Eléonore Lafonta;Judith Camarcat
Systemiq Capital,vc,https://systemiqcapital.earth,,Systemiq Capital;Systemiq,Systemiq Capital GmbH;Systemiq Capital LP,Georgina Fleming;Mirja Wagner;Manuel Braun;Emma Chivers;Viola Alexiou
WI Venture,vc,https://wiventure.de,,WI Venture,WI Venture GmbH,Matthias Willenbacher;Ikarus Janzen;Jonas Hornung;Jason Wingrove;Arndt Hoffmann
ArcTern Ventures,vc,https://arcternventures.com,,ArcTern Ventures;ArcTern,ArcTern Ventures GmbH;ArcTern Ventures LP,Kristin Aamodt;Raymond Fung;Tom Rand;Ray Fung;Ian Pinnington
Extantia,vc,https://extantia.com,,Extantia,Extantia GmbH,Sebastian Heitmann;Laura-Marie Toepfer;Yair Reem;Eshel Lipman;Torben Schreiter
ETF Partners,vc,https://etfpartners.capital,,ETF Partners,ETF Partners GmbH;ETF Partners LP,Lucy Rands;Elisabeth Kuester;Tomer Strikovsky;Patrick Sheehan;Rob Genieser
Future Energy Ventures,vc,https://fev.vc,,Future Energy Ventures;Future,Future Energy Ventures GmbH;Future Energy Ventures LP,Carolina Soto;Ines Bergmann-Nolting;Natalie Milde;Claudia Cymek;Anna Trendewicz
